label,run,filename,total_packets,duration_sec,packets_per_sec,bytes_total,bytes_per_sec,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,pkt_size_median,iat_mean,iat_std,iat_min,iat_max,iat_median,ratio_ip,ratio_tcp,ratio_udp,ratio_icmp,ratio_arp,count_ip,count_tcp,count_udp,count_icmp,count_arp,count_dns,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg,syn_only_count,ratio_syn_only,ratio_syn_ack,tcp_win_mean,tcp_win_std,tcp_win_min,tcp_win_max,unique_src_ports,unique_dst_ports,port_entropy_dst,top_dst_port_count,http_pkts,https_pkts,rtsp_pkts,telnet_pkts,ssh_pkts,unique_src_ips,unique_dst_ips,ip_pair_count,src_ip_entropy,dst_ip_entropy,ttl_mean,ttl_std,ttl_min,ttl_max,payload_mean,payload_std,payload_max,n_has_payload,ratio_has_payload,max_payload_repeat,n_http_get,n_http_post,n_flows,pkts_per_flow_mean,pkts_per_flow_std,pkts_per_flow_max,bytes_per_flow_mean,bytes_per_flow_std,bytes_per_flow_max,top_flow_pkts,arp_who_has,arp_is_at,n_http_conn_ips,ratio_rtsp
brute_force_ssl,run_1,brute_force_ssl.pcap,1237,9.634303,128.3954,253638,26326.5539,205.0428,307.2144,54.0,1386.0,66.0,0.007795,0.044743,-3.9e-05,0.399688,0.000114,1.0,1.0,0.0,0.0,0.0,1237,1237,0,0,0,0,153,1148,153,31,448,0,89,0.0719,0.1333,7388.6742,19472.9568,0.0,65160.0,91,91,4.5525,522,0,522,0,0,0,2,2,2,0.9903,0.9903,63.0881,2.5708,37.0,64.0,381.8661,410.0236,1320.0,448,0.3622,1,0,0,91,13.5934,53.7851,522.0,2787.2308,8748.5868,85092.0,522,0,0,0,0.0
dos_http_flood,run_1,dos_http_flood.pcap,4112,9.829334,418.3396,1108524,112777.1245,269.5827,468.1121,54.0,2241.0,74.0,0.002391,0.008362,-9.6e-05,0.087819,9.6e-05,1.0,1.0,0.0,0.0,0.0,4112,4112,0,0,0,0,370,3490,483,423,1612,0,199,0.0484,0.106,6426.8281,18316.4107,0.0,65160.0,268,240,5.2707,1840,0,1840,0,0,0,2,2,2,0.992,0.992,63.4475,0.4972,63.0,64.0,484.3073,619.9905,2175.0,1731,0.421,2,0,0,240,17.1333,117.9687,1840.0,4618.85,12965.0021,203580.0,1840,0,0,0,0.0
dos_syn_flood,run_1,dos_syn_flood.pcap,14182,10.224671,1387.0373,806230,78851.4359,56.8488,46.8116,54.0,2241.0,54.0,0.000721,0.000763,-0.000148,0.002367,0.000393,1.0,1.0,0.0,0.0,0.0,14182,14182,0,0,0,0,9407,4739,18,4739,18,0,4704,0.3317,1.985,21475.5132,30123.1431,0.0,64240.0,4724,4722,4.9967,9443,0,9443,0,0,0,2,2,2,0.9191,0.9191,63.6658,0.4717,63.0,64.0,1175.4444,564.4197,2175.0,18,0.0013,1,0,0,4722,3.0034,137.3899,9443.0,170.7391,7419.412,509922.0,9443,0,0,0,0.0
dos_udp_flood,run_1,dos_udp_flood.pcap,35571,9.948668,3575.4536,1494262,150197.1958,42.0079,0.4694,42.0,70.0,42.0,0.00028,0.003761,3e-06,0.142898,7e-06,1.0,0.0,0.9997,0.0003,0.0,35571,0,35561,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35561,1,-0.0,35561,0,0,0,0,0,2,2,2,0.0037,0.0037,63.9997,0.0168,63.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,2,17785.5,17775.5,35561.0,747131.0,746431.0,1493562.0,35561,0,0,0,0.0
mixed_attack,run_1,mixed_attack.pcap,50495,9.955783,5071.9266,2795138,280755.2184,55.3547,1.8951,42.0,58.0,54.0,0.000197,0.001298,-0.00019,0.039718,9e-06,1.0,1.0,0.0,0.0,0.0,50495,50493,0,2,0,0,33171,17322,0,17322,0,0,17114,0.3389,1.915,20612.801,29791.8009,0.0,64240.0,17152,16865,5.835,32120,4,32121,3,1,1,2,2,2,0.9277,0.9277,63.3286,2.4403,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,17110,2.9512,245.725,32120.0,163.3628,13269.151,1734484.0,32120,0,0,2,0.0001
port_scan,run_1,port_scan.pcap,52,9.684243,5.3695,2888,298.2164,55.5385,3.3424,42.0,58.0,56.0,0.189887,0.197305,6.5e-05,0.46007,0.007776,1.0,0.9615,0.0,0.0385,0.0,52,50,0,2,0,0,26,24,0,24,0,0,24,0.48,1.0833,3061.12,12498.1585,0.0,64240.0,25,25,3.3631,24,2,2,2,0,1,2,2,2,0.9989,0.9989,55.5,9.0967,38.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,27,1.9259,4.337,24.0,106.963,235.2407,1304.0,24,0,0,1,0.0385
replay_attack,run_1,replay_attack.pcap,50,9.979172,5.0104,2760,276.5761,55.2,1.833,54.0,58.0,54.0,0.203657,0.578526,1.2e-05,3.340076,0.058118,1.0,1.0,0.0,0.0,0.0,50,50,0,0,0,0,15,35,0,35,0,0,15,0.3,0.4286,307.2,469.2558,0.0,1024.0,37,17,2.4523,31,1,0,0,0,0,2,2,2,0.8813,0.8813,59.22,6.6882,40.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,17,2.9412,7.0249,31.0,162.3529,378.5105,1674.0,31,0,0,1,0.0
rtsp_brute_force,run_1,rtsp_brute_force.pcap,19229,8.609141,2233.5561,1077298,125134.1982,56.0247,2.0193,42.0,74.0,58.0,0.000448,0.019121,-3e-05,2.43984,2.4e-05,1.0,0.9998,0.0,0.0002,0.0,19229,19225,0,4,0,0,9716,9509,2,9503,0,0,9713,0.5052,1.0218,530.9512,1054.9063,0.0,65160.0,9504,9713,7.7026,9495,3,2,6,0,0,2,2,2,0.9999,0.9999,55.4559,8.82,37.0,64.0,0.0,0.0,0.0,0,0.0,0,0,0,9717,1.9789,96.3077,9495.0,110.8673,5200.573,512730.0,9495,0,0,1,0.0003
slowloris,run_1,slowloris.pcap,52,10.023045,5.188,2912,290.5305,56.0,2.0,54.0,58.0,56.0,0.19653,0.184504,0.002045,0.398747,0.106158,1.0,1.0,0.0,0.0,0.0,52,52,0,0,0,0,26,26,0,26,0,0,26,0.5,1.0,512.0,512.0,0.0,1024.0,27,27,3.3502,26,0,0,0,0,0,2,2,2,1.0,1.0,54.6154,9.5719,37.0,63.0,0.0,0.0,0.0,0,0.0,0,0,0,27,1.9259,4.7213,26.0,107.8519,254.1956,1404.0,26,0,0,0,0.0
brute_force_ssl,run_8,brute_force_ssl.pcap,56193,9.971642,5635.2808,3161077,317006.6821,56.2539,14.298,54.0,1386.0,58.0,0.000177,0.000575,-5.3e-05,0.035588,3.9e-05,1.0,1.0,0.0,0.0,0.0,56193,56193,0,0,0,0,28045,28153,7,28071,35,0,28039,0.499,0.9962,524.5975,1033.0859,0.0,65160.0,28048,28007,8.4028,28003,1,42,0,0,0,2,2,2,1.0,1.0,55.5114,8.8539,37.0,64.0,381.9143,409.9981,1320.0,35,0.0006,1,0,0,28010,2.0062,167.3114,28003.0,112.8553,9034.9483,1512166.0,28003,0,0,0,0.0
